"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_instructions2","correct_instructions3","correct_instructions4","correct_keyboard_response","correct_response","correct_stim","count_ISI","count_block_one","count_block_two","count_break","count_experiment","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_instructions4","count_keyboard_response","count_logger","count_new_inline_javascript","count_stim","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","false_response","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_one","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break","response_instructions1","response_instructions2","response_instructions3","response_instructions4","response_keyboard_response","response_stim","response_time","response_time_break","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_instructions4","response_time_keyboard_response","response_time_stim","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim","subject_nr","subject_parity","time_ISI","time_block_one","time_block_two","time_break","time_experiment","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_instructions4","time_keyboard_response","time_logger","time_new_inline_javascript","time_stim","time_trial_sequence","title","total_correct","total_response_time","total_responses","true_false","true_response","uniform_coordinates","width"
"0","0","1000","1000","black","legacy","legacy","legacy","0","PO","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","0","0","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","5252","9317","10221","5171","1000","1070","2","legacy","1024","2","48000","-16","experiment","A rowboat has a motor.","0","even","34307","32704","NA","NA","2596","33803","2701","7982","17308","27533","34507","35507","2695","32729","32725","Sentence_verification","0","1000","1","FALSE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","SO","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","1","0","0","0","0","1","0","0","0","0","1","1","0","1","1","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","1","1","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","5252","9317","10221","5171","1000","1636","2","legacy","1024","2","48000","-16","experiment","A raft is a destroyer.","0","even","37712","32704","NA","NA","2596","37208","2701","7982","17308","27533","37912","38912","2695","35568","35563","Sentence_verification","0","2000","2","FALSE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","S1","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","2","0","0","0","0","2","0","0","0","0","2","2","0","2","2","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","2","2","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","5252","9317","10221","5171","1000","1345","2","legacy","1024","2","48000","-16","experiment","Football is a lottery.","0","even","40816","32704","NA","NA","2596","40313","2701","7982","17308","27533","41017","42017","2695","38964","38960","Sentence_verification","0","3000","3","FALSE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","S1","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","3","0","0","0","0","3","0","0","0","0","3","3","0","3","3","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","3","3","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","5252","9317","10221","5171","1000","1012","2","legacy","1024","2","48000","-16","experiment","Tennis is a game","0","even","43591","32704","NA","NA","2596","43088","2701","7982","17308","27533","43791","44791","2695","42072","42067","Sentence_verification","0","4000","4","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","P2","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","4","0","0","0","0","4","0","0","0","0","4","4","0","4","4","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","4","4","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","5252","9317","10221","5171","1000","1240","2","legacy","1024","2","48000","-16","experiment","Bourbon is gritty.","0","even","46591","32704","NA","NA","2596","46088","2701","7982","17308","27533","46791","47791","2695","44844","44840","Sentence_verification","0","5000","5","FALSE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","PO","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","5","0","0","0","0","5","0","0","0","0","5","5","0","5","5","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","5","5","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","5252","9317","10221","5171","1000","1026","2","legacy","1024","2","48000","-16","experiment","A crow is green.","0","even","49381","32704","NA","NA","2596","48878","2701","7982","17308","27533","49581","50581","2695","47848","47844","Sentence_verification","0","6000","6","FALSE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","P1","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","6","0","0","0","0","6","0","0","0","0","6","6","0","6","6","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","6","6","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","5252","9317","10221","5171","1000","1555","2","legacy","1024","2","48000","-16","experiment","Mints are salty.","0","even","52696","32704","NA","NA","2596","52193","2701","7982","17308","27533","52896","53896","2695","50634","50630","Sentence_verification","0","7000","7","FALSE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","SO","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","7","0","0","0","0","7","0","0","0","0","7","7","0","7","7","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","7","7","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","5252","9317","10221","5171","1000","3607","2","legacy","1024","2","48000","-16","experiment","A bass is a crab.","0","even","58068","32704","NA","NA","2596","57565","2701","7982","17308","27533","58269","59269","2695","53953","53949","Sentence_verification","0","8000","8","FALSE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","P1","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","8","0","0","0","0","8","0","0","0","0","8","8","0","8","8","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","8","8","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","5252","9317","10221","5171","1000","3729","2","legacy","1024","2","48000","-16","experiment","Silk is woven.","0","even","63556","32704","NA","NA","2596","63053","2701","7982","17308","27533","63756","64756","2695","59320","59316","Sentence_verification","0","9000","9","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","S1","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","9","0","0","0","0","9","0","0","0","0","9","9","0","9","9","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","9","9","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","5252","9317","10221","5171","1000","1996","2","legacy","1024","2","48000","-16","experiment","Cremes are cookies.","0","even","67307","32704","NA","NA","2596","66803","2701","7982","17308","27533","67507","68507","2695","64803","64799","Sentence_verification","0","10000","10","FALSE","m","yes","1024"
